RegionID,VoronoiVolume,TotalFiberVolume,FiberVolumeFrac,FiberIndices,FiberLengthsInside,FiberP1_inside,FiberP2_inside,MinCorner,CuboidSize
45,16462.23387,187.77462,0.011406388,26,3.7357,[-28.5574 50.0000 37.0988],[-31.3495 50.0000 34.6170],[-51.471 45.0 16.732],[43.035 10.0 38.253]
46,11206.51288,976.1151056,0.087102484,26,19.4192,[-14.0431 50.0000 50.0000],[-28.5574 50.0000 37.0988],[-39.054 45.0 27.769],[35.507 10.0 31.561]
48,19208.54541,811.569576,0.042250444,14,16.1457,[50.0000 33.8744 40.6721],[37.3541 34.4697 30.6517],[19.059 29.172 16.155],[49.236 10.0 39.013]
52,5050.337835,2270.504767,0.449574829,3,45.1703,[50.0000 -50.0000 50.0000],[15.6899 -50.0000 20.6202],[20.702 -55.0 24.912],[24.285 10.0 20.796]
53,7061.915536,302.9738609,0.042902504,2,6.0275,[-50.0000 -50.0000 50.0000],[-43.9725 -50.0000 50.0000],[-82.296 -55.0 45.0],[70.619 10.0 10.0]
54,28609.86716,137.2785286,0.004798293,2,2.7311,[-43.9725 -50.0000 50.0000],[-41.2415 -50.0000 50.0000],[-185.656 -55.0 45.0],[286.099 10.0 10.0]
56,24923.23512,3827.113147,0.153556034,"31, 32, 33, 72, 90","14.5553, 17.2721, 5.0916, 15.587, 23.632","[50.0000 -28.1324 42.3958], [28.8790 -24.4091 36.9171], [43.2985 -13.4107 50.0000], [37.0260 -16.3639 19.2747], [27.9860 -42.5048 32.2777]","[40.9378 -28.1324 31.0058], [40.1556 -24.4091 50.0000], [40.1227 -13.4107 46.0202], [50.0000 -16.3639 27.9136], [50.0000 -42.5048 40.8716]",[27.084 -43.697 18.016],[23.818 31.478 33.243]
58,28819.58614,3851.285803,0.13363432,"7, 8, 9, 38, 39, 40","2.7505, 12.5306, 13.8161, 1.3849, 20.7027, 25.4341","[-42.1699 -16.3639 33.1274], [-39.6139 5.4634 50.0000], [-25.3209 5.9855 50.0000], [-26.0432 -7.1357 23.1691], [-23.4431 12.0906 34.6530], [-21.7755 22.6502 42.3863]","[-39.8805 -16.3639 34.6519], [-50.0000 8.6585 43.7601], [-36.4898 5.9855 41.8675], [-24.9852 -7.1357 24.0628], [-41.4214 12.0906 24.3875], [-41.9241 22.6502 26.8643]",[-49.884 -16.203 23.28],[27.992 38.692 26.61]
59,52344.20802,7130.472055,0.136222752,"15, 16, 38, 39, 40, 42, 55","11.369, 30.1635, 22.1747, 30.9505, 12.4757, 32.198, 2.5248","[1.7036 -5.6750 14.3607], [13.7829 10.0229 20.1973], [-24.9852 -7.1357 24.0628], [3.4345 12.0906 50.0000], [-11.8925 22.6502 50.0000], [9.6060 23.0752 32.1871], [-1.9449 2.4297 8.3292]","[-8.5068 -5.6750 9.3605], [-14.2337 10.0229 9.0211], [-8.0453 -7.1357 38.3721], [-23.4431 12.0906 34.6530], [-21.7755 22.6502 42.3863], [-7.6987 23.0752 5.0346], [-3.8695 2.4297 6.6951]",[-24.946 -7.105 5.08],[38.689 30.15 44.874]
60,47823.75994,4633.936265,0.096896109,"15, 16, 34, 36, 37, 43, 44","15.6383, 30.7636, 6.1026, 6.7898, 9.8787, 4.7046, 18.3116","[32.4356 -5.6750 29.4106], [43.1277 10.0229 31.9032], [50.0000 5.4634 50.0000], [50.0000 22.1000 50.0000], [29.3561 2.4297 50.0000], [45.9145 12.0906 17.1564], [34.8085 25.1495 38.9331]","[18.3909 -5.6750 22.5327], [14.5537 10.0229 20.5048], [48.5001 9.4634 45.6420], [47.0337 24.5438 44.4026], [21.8256 2.4297 43.6062], [50.0000 12.0906 19.4892], [27.3275 25.1495 22.2193]",[12.773 -7.223 15.507],[39.007 33.921 36.143]
61,695.1090327,321.3707008,0.462331355,23,6.3935,[-50.0000 50.0000 50.0000],[-43.6065 50.0000 50.0000],[-50.000 26.624 37.462],[6.393 23.376 12.538]
62,3946.421671,118.8816887,0.030123919,23,2.3651,[-43.6065 50.0000 50.0000],[-41.2415 50.0000 50.0000],[-62.156 45.0 45.0],[39.464 10.0 10.0]
63,15232.19381,302.130594,0.019835002,29,6.0107,[-13.2355 50.0000 17.0945],[-8.7130 50.0000 21.0538],[-31.83 45.0 0.815],[41.712 10.0 36.518]
64,38460.62856,2338.054713,0.060790861,14,46.5141,[37.3541 34.4697 30.6517],[0.9223 36.1847 1.7839],[-15.696 30.327 -11.384],[69.669 10.0 55.205]
